id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
57c3bb23-a543-4b37-be54-3c247a0e19d7,A12,,0,0,1151.32,0.00,0.00
6a3b83ca-f2ef-434c-bccc-7d02ea45b01a,A17,,0,0,13107.76,0.00,0.00
e3ba0f71-ed42-4b83-85df-f5026f97414a,A16,,0,0,,,
3ca14e48-151a-4af9-81e4-43d0403f974d,AE,4.0,1,1,39382.89,43000.00,0.00
9fe074d6-c790-49ce-a903-146e09f783fd,AE,,0,1,,,
ac1795d7-faa1-4b43-8bbe-38ce3296a089,A,,0,1,505.56,554.90,0.00
48472b05-fd87-4c10-a64c-28b37f4d20f5,A01,0.0,1,0,,,
a30e0193-aa6b-4b51-bd79-4128b18279e6,A99,,0,1,183800.00,33000.00,0.00
8c259c9f-7866-41e7-9987-28954feec7ff,A06,,0,0,1150.33,0.00,0.00
ee49dc81-bf80-4bf6-9e0f-8e3a16bab17c,VE,1.0,0,1,0.00,0.00,0.00
b2d619a5-e299-49bf-8605-8993699bbf3c,AE,-2.0,1,0,,,
4a66f805-6731-4b68-ac2c-95e4fc96c4c8,A,,0,0,5577.72,0.00,0.00
052baa64-c807-42e7-8a27-9efa3abb331b,AE,-5.0,0,0,212494.80,0.00,0.00
023bb4b7-4242-49c4-90ef-210e9c33433a,X,,1,1,10162.29,12933.42,0.00
7fdeb150-dba1-4ab9-9e55-1ce6f599af3b,AE,,0,1,90000.00,40000.00,0.00
cf948425-624f-4824-b578-af495e8b7ce0,X,,0,0,6766.00,0.00,0.00
85e556d8-af64-459b-9816-131af65dd2f8,AE,,0,0,14155.93,2824.22,0.00
439aa4ce-5442-48d5-9329-025f9a65c1d5,X,,1,1,9406.83,620.00,0.00
b1b03a4b-a9da-4750-83fa-ee800de6d814,A10,-5.0,0,1,188230.93,6865.55,0.00
cb9c8dae-496e-4836-a65b-348d5d3a3f48,AE,,0,1,57648.40,0.00,0.00
29332ec3-d103-4621-9583-f68052cdbff1,VE,,0,1,213455.71,36800.00,0.00
bc954b8e-e828-4dda-9131-cb0c59eafaea,X,,1,1,,,
f7a6b67c-e3d6-4389-ad0a-e332a3093ffa,B,,0,0,4491.57,0.00,0.00
939503cc-cd2f-448f-9947-7655906f41aa,X,,0,0,116736.12,46554.03,0.00
f980d815-b653-4fee-9fa0-07bc5fa472b0,A,,0,0,27840.48,7745.40,0.00
25005a03-ed97-42f5-9f95-831553d0940a,A05,,0,1,3780.13,4543.30,0.00
664a8781-574e-4c17-a59b-6c70b75946e1,A17,,0,0,21200.00,8446.75,0.00
6435c30f-c14c-4d3a-b7b2-9274f8813244,X,,0,1,,,
87d33555-10c2-4bdd-b70f-39fa239556d0,A,,0,1,7745.84,1366.41,0.00
153cfae7-e94c-4d5e-9dea-eabd098c4033,X,,1,1,51326.19,2362.93,0.00
eb4ee12c-bbab-41a4-b7d5-6d826ad82f79,AE,-1.0,1,0,2596.44,0.00,0.00
124ee54c-0a73-4add-b1a1-81880dc042ad,A20,,0,0,2655.28,1357.00,0.00
8b43264b-fd89-47a9-86bb-55d12c81e65e,AE,,0,0,29636.54,0.00,0.00
13da40af-6235-463d-bebf-a1e46853cb5c,AE,,0,0,,,
b4e40fe4-2629-4521-8806-c52aca66f304,AE,,0,0,3307.66,16.82,0.00
