id,dateOfLoss,asOfDate
e69c4a29-4ce2-4f1f-a659-fb0d35b93ed9,2012-10-28T00:00:00.000Z,2025-07-01T00:00:00.000Z
c1613674-888f-4bb7-be0e-3bbe548f9f33,2013-04-18T00:00:00.000Z,2025-07-01T00:00:00.000Z
058debd7-9888-4797-bbe4-44089ec47aa0,1987-01-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
41d1d7d5-d7f5-4c31-b6c8-41df1efea1dc,2017-08-27T00:00:00.000Z,2025-07-01T00:00:00.000Z
01989411-7354-46a9-833f-d1292b8f94fb,1999-09-16T00:00:00.000Z,2025-07-01T00:00:00.000Z
ed7dc871-b224-489a-9e28-c10cc5b4615c,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
76a91924-83d9-45bd-8abb-f2461ea378b5,1993-09-22T00:00:00.000Z,2025-07-01T00:00:00.000Z
d75bea5b-9677-42a6-8549-a6f1f29d9297,1997-01-22T00:00:00.000Z,2025-07-01T00:00:00.000Z
06fc536f-8d73-4474-833f-06571c454867,2013-09-12T00:00:00.000Z,2025-07-01T00:00:00.000Z
d2bc868a-b70a-4be3-ba08-002e4f651c28,2024-08-07T00:00:00.000Z,2025-07-01T00:00:00.000Z
a4c79dce-f9e2-423c-ac07-21159fe18469,2011-05-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
56488b11-6700-476b-a09e-b2a075443dae,1995-01-09T00:00:00.000Z,2025-07-01T00:00:00.000Z
2ffcf79f-4f25-4948-9b86-3944c5232d3c,1988-09-08T00:00:00.000Z,2025-07-01T00:00:00.000Z
6ed269a0-ba60-46b9-9d30-f2d6c04a7e8a,1983-04-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
ce3de869-0c5e-40d7-9d02-dd92b97d038a,1984-04-05T00:00:00.000Z,2025-07-01T00:00:00.000Z
14dc00d5-cb31-4d0e-9017-a20f176b1965,2001-06-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
692a4529-0357-475f-8e20-af8b667cd9b1,2002-11-28T00:00:00.000Z,2025-07-01T00:00:00.000Z
46da65f6-e34e-4e9d-9dd3-5646c8580f41,1990-10-17T00:00:00.000Z,2025-07-01T00:00:00.000Z
3fddb1c9-271e-4f80-a17a-524a1fd47a8a,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
bdaef350-b299-4983-9dad-d27a5af67973,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
b8d948d3-cc6b-480f-aedd-e2d88f86035a,1980-10-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
68f59f01-2b03-43ba-9a8e-d549274b3809,2024-09-11T00:00:00.000Z,2025-07-01T00:00:00.000Z
9eac0da1-89c8-40e6-acbc-b6c2ec01beb2,2014-10-03T00:00:00.000Z,2025-07-01T00:00:00.000Z
