path,horizon,state,n_claims,total_loss
45,4,1,29,607675.9475910917
45,5,0,1,19121.12438730592
45,6,1,31,579328.0385944702
45,7,0,1,13103.087725160542
45,8,0,3,43639.972412878895
46,1,0,3,77542.05363733601
46,2,0,2,19886.818024481978
46,3,0,4,1151513.140376445
46,4,0,6,68475.28684514835
46,5,0,1,8934.05679905551
46,6,0,1,1738.5610405140733
46,7,0,6,35048.233383464125
46,8,0,2,36496.16939306565
47,1,0,2,20368.602746217257
47,2,0,2,1163.7900353130146
47,3,0,0,0.0
47,4,0,0,0.0
47,5,0,0,0.0
47,6,0,3,27148.228265638034
47,7,0,0,0.0
47,8,0,5,19214.19579494816
48,1,0,5,115322.26880610481
48,2,0,3,56080.97177531483
48,3,0,1,1587.5513442755068
48,4,0,4,16266.570294264677
48,5,0,5,47466.11949163663
48,6,0,3,78253.83985072009
48,7,0,1,555.9378380065891
48,8,0,3,103149.74373510515
49,1,0,1,1957.7142003914475
49,2,0,2,9692.329982540981
49,3,0,2,5773.236215635922
49,4,0,1,10803.820630597285
49,5,0,1,6044.163583716546
49,6,1,23,601830.6512838909
49,7,0,6,46681.709290398336
49,8,0,3,72676.25051105095
50,1,0,2,51131.57184210898
50,2,0,2,62778.95589341831
50,3,0,4,22305.401088609666
50,4,0,6,28799.126437144347
50,5,0,3,153892.45307513262
50,6,0,4,90402.53011351645
50,7,0,1,3540.4406941505395
50,8,0,5,24713.642225979595
51,1,0,4,67240.28338475696
51,2,0,2,7403.525356696609
51,3,0,3,46156.99438778716
51,4,0,3,36793.331373411194
51,5,0,3,46924.82738480404
51,6,0,1,1258.600334001264
51,7,0,5,22890.496952405207
51,8,0,4,28532.427984587426
52,1,0,2,6397.347470241418
52,2,0,1,6539.442942756223
52,3,0,3,6949.837418209821
52,4,0,4,32970.390880173
52,5,0,3,11125.084178486582
52,6,1,29,752760.453738537
52,7,0,5,42862.545016277916
52,8,1,25,488768.4888728363
53,1,0,1,4061.5861740132445
53,2,0,6,159141.6441382433
53,3,0,3,22284.958393697256
53,4,0,3,21627.626955694286
53,5,0,1,742.9092401757648
53,6,0,2,10032.406458072435
53,7,0,0,0.0
53,8,1,26,426125.81947405444
54,1,0,1,2522.8242287414346
54,2,0,3,153774.97020224822
54,3,0,3,12640.22549446614
54,4,0,3,24685.034561041743
54,5,0,1,24839.00919713886
54,6,0,4,10671.002389506431
54,7,1,27,858168.6600776291
54,8,0,2,29993.870295755
55,1,0,1,2080.4697978293443
55,2,0,2,8473.376857431178
55,3,0,2,14575.236874496604
55,4,0,0,0.0
55,5,0,4,93686.31812628642
