path,horizon,state,n_claims,total_loss
48,7,0,3,12651.567186979055
48,8,0,1,17826.04647105152
49,1,1,53,953779.2720773394
49,2,0,3,42737.886042047685
49,3,1,48,929214.4527615424
49,4,0,3,38530.44586591554
49,5,0,3,20246.967535957738
49,6,0,3,6262.401895918386
49,7,0,1,6688.690327541423
49,8,1,39,661170.73187876
50,1,0,5,77944.75566344032
50,2,0,3,5656.011997158662
50,3,0,7,88440.46849448416
50,4,1,49,985419.2004123132
50,5,0,6,114258.40772284518
50,6,0,2,12107.074714884464
50,7,0,3,8401.94914134047
50,8,0,4,26832.806946997665
51,1,0,6,87755.21866534643
51,2,0,3,9236.375177705522
51,3,0,3,48754.24326795229
51,4,0,2,310304.6061659616
51,5,0,3,12485.06147670871
51,6,1,38,741834.0448551057
51,7,0,4,54165.230883921104
51,8,0,2,122126.09546448587
52,1,0,2,17291.240368948318
52,2,0,2,7917.714276258619
52,3,0,2,49086.07473924845
52,4,0,2,17229.684791165688
52,5,0,2,20459.63733408176
52,6,0,1,18165.870087241376
52,7,0,0,0.0
52,8,0,4,46304.08973249263
53,1,0,5,61039.8250227783
53,2,0,2,1785.1126853365738
53,3,0,1,6069.920408315414
53,4,0,3,67087.67796743514
53,5,0,2,2152.988204418911
53,6,0,3,8235.690413395916
53,7,0,6,139546.5330539562
53,8,0,3,325253.7749355251
54,1,0,3,46955.65875986412
54,2,0,2,5594.148412714696
54,3,0,4,46854.29498194832
54,4,0,2,30060.238340559532
54,5,1,52,819222.7474563796
54,6,0,2,5548.152824440303
54,7,0,1,12103.902537452175
54,8,0,6,85164.3078356074
55,1,0,1,736.0523648478294
55,2,0,5,216077.38300290838
55,3,1,30,608691.2567788737
55,4,0,5,140261.86974310406
55,5,1,35,622486.521676712
55,6,0,2,98657.51496974424
55,7,0,6,36571.501928451486
55,8,0,5,31549.11922888592
56,1,0,1,18202.877899644573
56,2,0,7,127440.56874915119
56,3,0,3,15727.300867957198
56,4,0,6,137358.14241940936
56,5,0,4,66580.36915422781
56,6,0,2,4947.852678970574
56,7,0,2,53280.80222570048
56,8,0,3,20834.233744038145
57,1,0,1,16553.728232689235
57,2,0,5,45396.11613247044
57,3,0,3,219970.61807534544
57,4,0,1,27909.365993845393
57,5,0,1,2847.437400913208
57,6,0,2,6246.326971492181
57,7,0,3,53060.39644986889
57,8,0,2,13405.04516685787
58,1,0,3,9494.628971909486
58,2,1,49,728765.4822650304
58,3,0,0,0.0
58,4,1,33,598095.4317839368
58,5,0,1,5857.837736447301
58,6,0,3,460659.8073747023
58,7,0,6,191006.50248588898
58,8,0,5,312467.7115262109
59,1,0,3,73982.13207327819
59,2,0,6,40163.990221905595
59,3,1,43,519543.7103451331
59,4,0,5,18557.51100554621
59,5,0,2,60135.71552618548
59,6,0,4,87158.21537115122
59,7,0,4,19038.37206790613
59,8,0,2,18733.361631428037
60,1,0,3,23289.188993056152
60,2,0,2,26457.1291019369
60,3,0,3,5061.436989959151
60,4,1,44,846904.2571653919
60,5,1,39,836809.0103890089
60,6,1,43,930913.6100398799
60,7,0,1,14919.805366427912
60,8,0,3,27432.868458082376
61,1,0,3,25305.823148557156
61,2,0,1,7055.607064923247
61,3,0,3,63743.70921376337
61,4,0,0,0.0
61,5,0,3,49652.3954636889
61,6,0,2,30006.56096079007
61,7,0,2,337527.0490469354
61,8,1,40,855951.2410654731
62,1,0,2,3322.4613611726245
62,2,1,53,765094.5441363545
62,3,0,2,53877.3820737864
62,4,0,0,0.0
62,5,0,4,93184.8956027619
62,6,0,4,29569.46450787721
62,7,0,3,18765.467262890987
62,8,0,3,13077.00668297019
63,1,0,6,59316.692533030284
63,2,0,3,10953.871614839882
63,3,0,1,9310.84974397944
63,4,0,3,44724.892809101046
63,5,1,46,1004262.3478930427
63,6,0,2,6809.26430852448
63,7,0,6,120528.92147195063
63,8,0,2,77043.86103508329
64,1,0,5,82648.93664150909
64,2,0,4,108838.40241768245
64,3,0,1,2925.6619780478054
64,4,0,4,90843.5558350274
64,5,0,5,32144.3590022028
64,6,0,4,599949.9795349642
64,7,0,3,62780.65568922379
64,8,0,3,46325.93123328607
65,1,0,3,50365.49384885991
65,2,0,5,24783.677597485876
65,3,0,6,85831.23662022478
65,4,0,1,1334.4484969296147
65,5,0,1,901.8813901953623
65,6,0,1,8460.473115038352
65,7,0,1,11940.093065340008
65,8,0,2,10896.371047481703
66,1,0,2,90788.33825540899
66,2,0,2,4095.8352107563837
66,3,0,3,70716.53972731406
66,4,0,4,99949.90058977238
66,5,0,3,183442.6179487899
66,6,0,2,89457.24561121596
66,7,0,1,14547.293875505864
66,8,1,44,806070.3234991832
67,1,0,5,45111.01952562046
67,2,0,8,50233.553865158574
67,3,0,1,1995.5330041432253
67,4,0,3,4331.370137092831
67,5,1,29,676669.1726960879
67,6,0,1,5980.695614936864
67,7,0,3,62097.87019176152
67,8,0,4,43068.65853452504
68,1,1,42,768155.9335163827
68,2,0,4,52006.8409527755
68,3,0,6,1003343.9630508986
68,4,1,58,842869.4677504393
68,5,0,2,11675.986758430376
68,6,0,2,31504.436125630982
68,7,1,34,578693.3517705481
68,8,0,2,4952.581532803558
69,1,0,1,23463.475696969766
69,2,0,3,139508.45653157425
69,3,0,4,47337.00069205579
69,4,0,3,24530.657529456534
69,5,0,5,68835.47989438343
69,6,0,4,29976.32868606315
69,7,0,3,206256.1971583955
69,8,0,1,11451.412405348428
70,1,1,55,1051088.3067463366
70,2,1,49,769232.9801691906
70,3,0,2,20359.37223466874
70,4,0,4,32472.9086768715
70,5,0,6,62636.29232085032
70,6,1,49,1089425.0925832088
70,7,0,3,11555.858115750569
70,8,0,3,36368.91550607284
71,1,0,2,16623.260305443582
71,2,0,1,74407.28998810682
71,3,0,4,20109.62497049735
71,4,0,0,0.0
71,5,0,2,10102.239812996973
71,6,0,2,26052.20855950194
71,7,1,37,827033.1328462681
71,8,0,6,62323.848875885844
72,1,1,48,783104.4681758098
72,2,0,3,153378.5997986988
72,3,0,4,19575.106695162158
72,4,1,55,1196140.9179417726
72,5,0,2,44965.51339714873
72,6,0,5,71266.34545399595
72,7,0,4,114291.35189743647
72,8,1,38,756929.1676723788
73,1,0,1,26711.917417893463
73,2,0,5,40645.036372730945
73,3,0,1,1833.680822738279
73,4,0,3,54074.87761362036
73,5,0,3,48144.15110427683
73,6,0,2,61477.02480292646
73,7,0,2,28425.18075113384
73,8,0,4,78374.3863389768
74,1,0,1,21689.308681811588
74,2,0,7,79769.62306759121
74,3,1,40,674261.6378052861
74,4,1,54,1371702.6735060434
74,5,0,2,10988.121222112202
74,6,0,7,225329.3596480905
74,7,1,40,1184640.4576667126
74,8,0,0,0.0
75,1,0,3,335265.38774025877
75,2,0,7,90308.47413820114
75,3,0,2,4568.35865820881
75,4,0,1,1031.3562474221526
75,5,0,4,35327.57898453984
75,6,1,39,581359.9049414782
75,7,0,8,87612.60721075903
75,8,0,5,84330.8677458079
76,1,0,7,130451.32437842994
76,2,0,4,26881.246015730983
76,3,0,4,29086.9969978647
76,4,0,3,49082.33536244524
76,5,1,55,1311496.860083005
76,6,0,1,6928.186691986906
76,7,0,2,35575.498104371974
76,8,0,3,100833.98340467128
77,1,1,44,832154.3324739166
77,2,0,5,338475.3989862329
77,3,0,4,22758.264656812175
77,4,1,48,828289.6093122931
77,5,0,5,26551.064179044624
77,6,0,3,15398.428160658677
77,7,0,6,84994.83269605797
77,8,0,3,78109.536027446
78,1,0,3,85604.3667800941
78,2,0,2,32944.43734443519
78,3,1,39,708329.2323007577
78,4,1,44,772759.3687624441
78,5,0,5,68397.22038977142
78,6,0,5,33587.90626213222
78,7,0,4,118397.60135442714
78,8,1,39,880819.542968523
79,1,0,5,89059.03567402306
79,2,0,4,21599.22209430177
79,3,1,48,815378.8207000144
79,4,0,3,51752.78751629751
79,5,0,6,107439.39883504095
79,6,0,4,43554.418071673055
79,7,0,0,0.0
79,8,0,6,110489.86984799421
80,1,0,5,124133.16852425569
80,2,1,41,740971.6873780825
80,3,1,56,1426975.9865430093
80,4,0,5,41452.80264569013
80,5,0,1,4482.41070855646
80,6,1,44,859104.2374112523
80,7,0,5,17410.183180157106
80,8,0,4,180777.9290609263
81,1,0,4,54947.7450749923
81,2,0,2,6094.339430817683
81,3,0,3,7897.469409231906
81,4,0,3,38356.26230086616
81,5,0,2,31822.449649218688
81,6,0,5,385576.5527204217
81,7,1,45,745164.3258063206
81,8,0,2,28782.895765924168
82,1,0,5,63189.32876753769
82,2,0,0,0.0
82,3,0,4,28751.157751493876
82,4,0,3,14301.143700515619
82,5,0,3,27583.351899502402
82,6,0,2,2750.00503425354
82,7,0,2,15754.752794776628
82,8,0,3,3789.2800510064453
83,1,0,2,36289.137771756505
83,2,0,3,20940.539925849756
